chunk_file_path,subchunk_number,source_file_path,source_line,rule_id,decision,rationale
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1001,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,122,error_detail_leaked_to_client,true_positive,Handler returns err.Error text to client which can expose internal failure details.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1002,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,122,handler_switches_on_error_strings,false_positive,Handler does not branch on specific err.Error string values.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1003,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,122,raw_db_error_exposed_to_client,false_positive,Snippet exposes generic processing errors but not SQL or ORM database errors.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1004,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,127,error_detail_leaked_to_client,true_positive,Handler returns err.Error text to client which can expose internal failure details.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1005,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,136,go_perf_layer_io_operations_readall_on_known_large_file,false_positive,Performance heuristic lacks runtime evidence in snippet and is not clearly actionable.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1006,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,136,go_perf_layer_io_operations_stat_before_open_without_branch,false_positive,Performance heuristic lacks runtime evidence in snippet and is not clearly actionable.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1007,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,138,go_perf_layer_algorithmic_complexity_per_request_topk_full_sort,false_positive,Performance heuristic lacks runtime evidence in snippet and is not clearly actionable.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1008,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,138,go_perf_layer_network_calls_dns_lookup_per_request_path,false_positive,Performance heuristic lacks runtime evidence in snippet and is not clearly actionable.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1009,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,138,go_perf_layer_resource_pooling_rate_limiter_per_request,false_positive,Performance heuristic lacks runtime evidence in snippet and is not clearly actionable.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1010,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,138,go_perf_layer_serialization_json_decoder_without_reuse_for_stream,false_positive,Performance heuristic lacks runtime evidence in snippet and is not clearly actionable.
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1001_1025.txt,1011,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/redact.go,138,go_perf_layer_serialization_json_marshal_for_deep_equal,false_positive,Performance heuristic lacks runtime evidence in snippet and is not clearly actionable.
