chunk_file_path,subchunk_number,source_file_path,source_line,rule_id,decision,rationale
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5001,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",38,"python_perf_layer_network_calls_retry_without_backoff_or_jitter",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5002,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",38,"python_perf_layer_string_handling_bytes_decode_encode_roundtrip",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5003,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",39,"python_perf_layer_lazy_loading_feature_flag_data_loaded_before_needed",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5004,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",40,"python_perf_layer_database_access_row_by_row_bulk_insert",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5005,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",58,"python_perf_layer_network_calls_large_response_downloaded_before_status_check",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5006,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",63,"python_perf_layer_io_operations_read_entire_file_for_line_processing",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5007,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",67,"python_perf_layer_data_structure_choice_pandas_object_dtype_for_numeric_hot_columns",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5008,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",67,"python_perf_layer_garbage_collection_cleanup_cycle_heavy_objects_without_break",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5009,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",70,"builtin_reduction_candidate",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5010,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",77,"python_perf_layer_caching_cache_miss_duplicate_concurrent_work",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5011,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",77,"python_perf_layer_caching_cached_value_immediately_deserialized",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5012,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",77,"python_perf_layer_caching_unbounded_dict_cache",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5013,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",92,"string_concat_in_loop",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5014,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",100,"string_concat_in_loop",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5015,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",106,"string_join_without_generator",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5016,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",135,"python_perf_layer_serialization_gzip_compress_tiny_payloads",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5017,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",136,"string_join_without_generator",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5018,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",187,"public_api_missing_type_hints",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5019,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",187,"quadratic_string_building_via_plus_equals",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5020,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",189,"python_perf_layer_algorithmic_complexity_full_sort_for_top_n",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5021,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",189,"python_perf_layer_data_structure_choice_heapq_reimplemented_with_sorted_list",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5022,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",189,"python_perf_layer_string_handling_bytes_decode_encode_roundtrip",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5023,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",192,"python_perf_layer_data_structure_choice_pandas_object_dtype_for_numeric_hot_columns",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5024,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",193,"python_perf_layer_garbage_collection_cleanup_cycle_heavy_objects_without_break",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5001_5025.txt",5025,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",197,"python_perf_layer_network_calls_large_response_downloaded_before_status_check",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5026_5050.txt",5026,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",197,"python_perf_layer_serialization_gzip_compress_tiny_payloads",false_positive,"Rule does not clearly match the cited snippet context"
"/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_5026_5050.txt",5027,"/home/chinmay/ChinmayPersonalProjects/gopdfsuit/sampledata/filler/compressed/generate_medical_form.py",199,"builtin_reduction_candidate",false_positive,"Rule does not clearly match the cited snippet context"
