chunk_file_path,subchunk_number,source_file_path,source_line,rule_id,decision,tp_fp_label,severity,confidence,rationale
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,1,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,34,feature_flag_lookup_without_config_abstraction,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,2,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,38,go_perf_layer_network_calls_retry_loop_without_backoff,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,3,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,38,go_perf_layer_string_handling_byte_string_roundtrip_for_contains,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,4,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,40,go_perf_layer_string_handling_string_lower_for_case_insensitive_compare,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,5,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,43,go_perf_layer_io_operations_stat_before_open_without_branch,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,6,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,87,route_setup_scattered_without_router_package,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,7,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,88,go_perf_layer_runtime_configuration_debug_build_tags_in_hot_binary,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,8,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,89,go_perf_layer_database_access_count_query_before_paged_fetch,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,9,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,89,go_perf_layer_database_access_query_inside_loop_without_batching,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,10,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,92,go_perf_layer_caching_per_request_config_cache_rebuild,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,11,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,92,go_perf_layer_io_operations_stat_before_open_without_branch,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,12,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,92,go_perf_layer_lazy_loading_eager_load_optional_config,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,13,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,92,go_perf_layer_network_calls_tls_config_built_per_request,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,14,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,93,go_perf_layer_string_handling_regexp_compile_in_request_path,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,15,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,94,go_perf_layer_collection_iteration_manual_index_loop_without_bounds_need,false_positive,false_positive,medium,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,16,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,94,go_perf_layer_hot_path_optimization_allocation_in_hash_or_less_func,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,17,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,94,go_perf_layer_hot_path_optimization_invariant_parse_inside_handler,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,18,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,94,go_perf_layer_network_calls_retry_loop_without_backoff,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,19,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,96,go_perf_layer_profiling_benchmarking_pprof_endpoint_enabled_without_sampling_plan,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
/home/chinmay/ChinmayPersonalProjects/deslop/scripts/chunks/Chunk_1_25.txt,20,/home/chinmay/ChinmayPersonalProjects/gopdfsuit/internal/handlers/handlers.go,98,route_setup_scattered_without_router_package,false_positive,false_positive,low,high,Rule intent is partially supported by snippet evidence; auto-triage and code context indicate false positive
