51,fmt_hot_path / performance / stable
41,python_perf_layer_network_calls_retry_without_backoff_or_jitter / performance / stable
39,test_imports_private_production_module / discipline / stable
37,python_perf_layer_caching_unbounded_dict_cache / performance / stable
34,error_detail_leaked_to_client / security / stable
33,full_dataset_load / performance / stable
33,python_perf_layer_string_handling_lowercase_compare_allocates / performance / stable
32,regexp_compile_in_hot_path / hot_path / stable
31,slice_grow_without_cap_hint / performance / stable
30,go_perf_layer_serialization_gzip_writer_created_per_small_payload / performance / stable
30,go_perf_layer_serialization_json_decoder_without_reuse_for_stream / performance / stable
30,happy_path_only_test
30,python_perf_layer_data_structure_choice_dict_of_dicts_for_fixed_records / performance / stable
29,go_perf_layer_async_concurrency_context_timeout_allocated_per_inner_call / performance / stable
29,go_perf_layer_io_operations_small_writes_without_bufio_writer / performance / stable
28,builder_write_string_single_byte_literal / performance / stable
28,go_perf_layer_memory_allocation_append_without_known_capacity / performance / stable
28,map_growth_without_size_hint / hot_path / stable
27,public_api_missing_type_hints / maintainability / stable
27,sprintf_for_simple_string_format / performance / stable
26,go_perf_layer_serialization_json_marshal_for_deep_equal / performance / stable
26,weak_typing
25,error_logged_and_returned / library / stable
25,go_perf_layer_network_calls_dns_lookup_per_request_path / performance / stable
25,python_perf_layer_error_handling_cost_raise_from_none_hides_retriable_error_context / performance / stable
25,python_perf_layer_memory_allocation_list_append_without_generator_stream / performance / stable
24,go_perf_layer_resource_pooling_rate_limiter_per_request / performance / stable
23,binary_read_for_single_field / performance / stable
23,slice_append_without_prealloc_known_bound / hot_path / stable
22,copy_of_mapping_created_only_to_read_values / performance / stable
22,go_perf_layer_io_operations_temporary_file_for_stream_transform / performance / stable
22,go_perf_layer_string_handling_byte_string_roundtrip_for_contains / performance / stable
21,go_perf_layer_database_access_select_star_on_hot_query / performance / stable
21,go_perf_layer_memory_allocation_map_recreated_for_static_lookup / performance / stable
20,python_perf_layer_collection_iteration_enumerate_list_materialized / performance / stable
20,python_perf_layer_io_operations_small_file_writes_without_buffer / performance / stable
20,python_perf_layer_string_handling_bytes_decode_encode_roundtrip / performance / stable
19,go_perf_layer_collection_iteration_len_called_after_materializing_channel / performance / stable
18,filter_then_count_then_iterate / hot_path / stable
18,go_perf_layer_garbage_collection_cleanup_large_slice_retained_after_truncate / performance / stable
18,go_perf_layer_string_handling_strings_join_single_element_loop / performance / stable
18,http_response_body_not_closed / idioms / stable
18,python_perf_layer_collection_iteration_generator_materialized_for_truthiness / performance / stable
17,bytes_buffer_without_grow_known_bound / hot_path / stable
17,go_perf_layer_memory_allocation_bytes_buffer_allocated_per_record / performance / stable
17,python_perf_layer_error_handling_cost_multi_error_list_allocated_before_failure / performance / stable
17,python_perf_layer_io_operations_path_exists_before_open_race / performance / stable
16,go_perf_layer_algorithmic_complexity_repeated_nested_slice_scans / performance / stable
16,go_perf_layer_garbage_collection_cleanup_sync_pool_stores_large_unbounded_buffers / performance / stable
16,go_perf_layer_io_operations_readall_on_known_large_file / performance / stable
16,go_perf_layer_memory_allocation_temporary_byte_slice_for_string_write / performance / stable
16,go_perf_layer_string_handling_string_lower_for_case_insensitive_compare / performance / stable
16,overlong_name
16,string_concat_in_loop / performance / stable
16,strings_builder_without_grow_known_bound / hot_path / stable
16,weak_crypto / security / stable
15,errors_new_for_static_sentinel / performance / stable
15,go_perf_layer_hot_path_optimization_invariant_parse_inside_handler / performance / stable
15,go_perf_layer_string_handling_regexp_compile_in_request_path / performance / stable
15,weak_hash_for_integrity / security / stable
14,go_perf_layer_hot_path_optimization_allocation_in_hash_or_less_func / performance / stable
14,python_perf_layer_data_structure_choice_list_as_fifo_queue / performance / stable
14,python_perf_layer_io_operations_temporary_file_for_bytes_transform / performance / stable
13,allocation_churn_in_loop / performance / stable
13,go_perf_layer_caching_unbounded_cache_map / performance / stable
13,handler_switches_on_error_strings / architecture / stable
13,python_perf_layer_database_access_orm_query_inside_loop / performance / stable
12,compression_hashing_or_encoding_performed_before_cheap_reject_checks / performance / stable
12,full_response_or_export_buffered_before_incremental_consumer_use / performance / stable
12,log_printf_for_production / library / stable
12,sibling_modules_depend_on_private_helpers_from_each_other / structure / stable
11,go_perf_layer_collection_iteration_copy_slice_before_readonly_range / performance / stable
11,go_perf_layer_error_handling_cost_sentinel_error_allocated_per_call / performance / stable
11,python_perf_layer_caching_cached_value_immediately_deserialized / performance / stable
11,python_perf_layer_database_access_row_by_row_bulk_insert / performance / stable
11,raw_db_error_exposed_to_client / architecture / stable
11,strings_replace_all_for_single_char / performance / stable
10,byte_string_conversion_in_loop / hot_path / stable
10,go_perf_layer_data_structure_choice_small_enum_string_switch_map / performance / stable
10,go_perf_layer_serialization_map_any_json_decode_in_hot_path / performance / stable
10,option_bag_model / quality / stable
10,python_perf_layer_memory_allocation_deepcopy_before_readonly_transform / performance / stable
10,python_perf_layer_serialization_json_dumps_for_equality_or_hash / performance / stable
10,python_public_api_any_contract / packaging / stable
10,strconv_repeat_on_same_binding / hot_path / stable
9,blocking_io_call_executed_per_item_without_batching / hot_path_ext / stable
9,condition_tree_nests_past_two_business_decision_levels / discipline / stable
9,gin_handler_mixes_html_json_and_file_responses / architecture / stable
9,gin_handler_returns_multiple_response_shapes / architecture / stable
9,go_perf_layer_algorithmic_complexity_per_request_topk_full_sort / performance / stable
9,go_perf_layer_async_concurrency_goroutine_per_item_without_worker_limit / performance / stable
9,public_any_type_leak / quality / stable
9,python_perf_layer_algorithmic_complexity_full_sort_for_top_n / performance / stable
9,three_index_slice_for_append_safety / performance / stable
9,unnecessary_map_for_set_of_ints / performance / stable
8,builder_or_buffer_recreated_per_iteration / hot_path / stable
8,go_perf_layer_async_concurrency_channel_buffer_too_small_for_known_burst / performance / stable
8,python_perf_layer_error_handling_cost_broad_except_retries_cpu_work / performance / stable
8,python_perf_layer_io_operations_read_entire_file_for_line_processing / performance / stable
8,same_contextmanager_pattern_copied_across_modules / maintainability / stable
8,stable_value_normalization_in_inner_loop / hot_path / stable
7,comment_required_to_explain_opaque_branching_that_code_could_express / maintainability / stable
7,expensive_work_starts_before_input_validation / discipline / stable
7,formfile_open_readall_whole_upload / gin / stable
7,function_local_import_executed_in_frequent_path / hot_path / stable
7,go_perf_layer_data_structure_choice_map_string_bool_for_membership / performance / stable
7,go_perf_layer_profiling_benchmarking_benchmark_missing_allocs_report / performance / stable
7,make_slice_inside_hot_loop_same_shape / hot_path / stable
7,panic_on_error / errors / stable
7,python_perf_layer_io_operations_subprocess_per_item / performance / stable
7,python_perf_layer_resource_pooling_large_buffer_pool_without_cap / performance / stable
7,sprintf_for_simple_int_to_string / performance / stable
6,circular_import_hidden_by_function_local_import_on_hot_path / packaging / stable
6,comment_style_tutorial
6,error_wrapping_misuse / errors / stable
6,fmt_errorf_without_wrap_verb / performance / stable
6,function_returns_multiple_unlabeled_shape_variants / discipline / stable
6,go_perf_layer_database_access_transaction_per_row_bulk_write / performance / stable
6,go_perf_layer_hot_path_optimization_time_now_called_many_times_per_item / performance / stable
6,go_perf_layer_logging_overhead_log_payload_serialized_before_sampling / performance / stable
6,make_map_inside_hot_loop_same_shape / hot_path / stable
6,mutable_package_global / idioms / stable
6,print_debugging_leftover / maintainability / stable
6,quadratic_string_building_via_plus_equals / performance / stable
6,redundant_return_none / maintainability / stable
6,repeated_string_literal / duplication / stable
6,string_builder_write_string_vs_plus / performance / stable
5,append_then_trim_each_iteration / hot_path / stable
5,cache_object_exists_without_size_or_eviction_policy_documentation / maintainability / stable
5,feature_flag_lookup_without_config_abstraction / architecture / stable
5,go_perf_layer_resource_pooling_db_pool_created_per_repository / performance / stable
5,go_perf_layer_resource_pooling_worker_pool_without_shutdown_backpressure / performance / stable
5,nested_append_without_outer_capacity / hot_path / stable
5,python_perf_layer_data_structure_choice_pandas_object_dtype_for_numeric_hot_columns / performance / stable
5,python_perf_layer_serialization_gzip_compress_tiny_payloads / performance / stable
5,python_perf_layer_serialization_pickle_in_request_hot_path / performance / stable
5,recursive_traversal_risk / performance / stable
5,repeated_split_or_join_on_invariant_separator_inside_loop / hot_path / stable
5,type_assertion_without_comma_ok / performance / stable
4,binary_or_multipart_response_missing_explicit_content_type / observability / stable
4,broad_exception_handler / maintainability / stable
4,builtin_reduction_candidate / maintainability / stable
4,copy_append_idiom_waste / performance / stable
4,cross_cutting_policies_embedded_in_leaf_modules_instead_of_shared_boundary / structure / stable
4,eager_full_file_or_stream_read_when_incremental_iteration_suffices / performance / stable
4,go_perf_layer_lazy_loading_eager_metric_label_cardinality_build / performance / stable
4,helper_returns_index_based_tuple_instead_of_named_structure / maintainability / stable
4,invariant_computation_not_hoisted_out_of_nested_loop / hot_path_ext / stable
4,map_lookup_double_access / performance / stable
4,md5_sum_in_loop / performance / stable
4,metric_name_contains_dynamic_user_or_data_values / observability / stable
4,missing_context / context / stable
4,python_perf_layer_caching_cache_key_uses_json_dumps_in_hot_path / performance / stable
4,python_perf_layer_caching_per_request_settings_cache_rebuilt / performance / stable
4,python_perf_layer_garbage_collection_cleanup_cycle_heavy_objects_without_break / performance / stable
4,python_perf_layer_network_calls_tls_context_built_per_request / performance / stable
4,python_perf_layer_string_handling_regex_compiled_per_call / performance / stable
4,repeated_c_json_inside_stream_loop / gin / stable
4,repeated_string_trim_normalize / performance / stable
4,shared_slice_append_race / security / stable
4,struct_field_exposed_in_json / security / stable
4,text_bytes_boundary_relies_on_implicit_default_encoding / boundaries / stable
4,time_now_in_tight_loop / performance / stable
3,f_string_evaluated_eagerly_inside_logging_call / observability / stable
3,generic_class_used_without_type_parameter_application / discipline / stable
3,go_perf_layer_algorithmic_complexity_recursive_graph_walk_without_seen_set / performance / stable
3,go_perf_layer_caching_cache_miss_does_duplicate_work / performance / stable
